"ID","FIRSTYEAR","LASTYEAR","STATE","LATITUDE","LONGITUDE","ELEVATION","NAME","STATE_NAME","RECORD_LENGTH"
"USC00043157",1870,2026,"CA",41.8714,-120.1575,1444.4,"FT BIDWELL","CALIFORNIA",157
"USW00023271",1877,2025,"CA",38.5553,-121.4183,11.6,"SACRAMENTO 5 ESE","CALIFORNIA",149
"USC00042294",1893,2026,"CA",38.535,-121.7761,18.3,"DAVIS 2 WSW EXP FARM","CALIFORNIA",134
"USC00046074",1893,2026,"CA",38.2778,-122.2647,10.7,"NAPA STATE HOSPITAL","CALIFORNIA",134
"USC00046136",1893,2026,"CA",39.2467,-121.0008,847.6,"NEVADA CITY","CALIFORNIA",134
"USC00046719",1893,2026,"CA",34.1483,-118.1447,263.3,"PASADENA","CALIFORNIA",134
"USC00046826",1893,2026,"CA",38.2578,-122.6078,6.1,"PETALUMA AP","CALIFORNIA",134
"USC00047821",1893,2026,"CA",37.3594,-121.9244,14.9,"SAN JOSE","CALIFORNIA",134
"USC00047902",1893,2026,"CA",34.4167,-119.6844,4.9,"SANTA BARBARA","CALIFORNIA",134
"USC00049866",1893,2026,"CA",41.7025,-122.6417,826.6,"YREKA","CALIFORNIA",134
"USC00040693",1893,2025,"CA",37.8744,-122.2606,94.5,"BERKELEY","CALIFORNIA",133
"USC00044412",1893,2025,"CA",33.0764,-116.5925,1284.7,"JULIAN CDF","CALIFORNIA",133
"USC00048351",1893,2025,"CA",38.2994,-122.4622,29.6,"SONOMA","CALIFORNIA",133
"USC00041614",1894,2026,"CA",41.53,-120.1792,1428.9,"CEDARVILLE","CALIFORNIA",133
"USC00046730",1894,2026,"CA",35.6278,-120.6856,222.5,"PASO ROBLES","CALIFORNIA",133
"USC00047880",1894,2026,"CA",37.9983,-122.5372,36.6,"SAN RAFAEL-CIVIC CTR","CALIFORNIA",133
"USC00044259",1894,2025,"CA",33.7086,-116.2153,-6.4,"INDIO FIRE STN","CALIFORNIA",132
"USC00049073",1894,2025,"CA",37.5019,-120.8456,31.4,"TURLOCK","CALIFORNIA",132
"USC00043161",1895,2026,"CA",39.51,-123.7564,37.5,"FT BRAGG 5 N","CALIFORNIA",132
"USC00047195",1895,2026,"CA",39.9367,-120.9475,1042.4,"QUINCY","CALIFORNIA",132
"USC00048702",1895,2026,"CA",40.4167,-120.6631,1283.8,"SUSANVILLE 2SW","CALIFORNIA",132
"USW00023157",1895,2026,"CA",37.3711,-118.3589,1252.7,"BISHOP AP","CALIFORNIA",132
"USC00040943",1895,2025,"CA",38.2119,-119.0142,2551.2,"BODIE CALIFORNIA ST HISTORIC P","CALIFORNIA",131
"USC00043875",1897,2026,"CA",38.6294,-122.8664,53.9,"HEALDSBURG","CALIFORNIA",130
"USC00042805",1897,2025,"CA",33.6861,-117.3458,386.5,"ELSINORE","CALIFORNIA",129
"USC00043191",1897,2025,"CA",38.515,-123.2447,34.1,"FT ROSS","CALIFORNIA",129
"USC00048839",1898,2026,"CA",35.0233,-118.7497,434.3,"TEJON RANCHO","CALIFORNIA",129
"USC00049367",1898,2026,"CA",36.3283,-119.2997,92.4,"VISALIA","CALIFORNIA",129
"USC00043747",1899,2026,"CA",36.3158,-119.6369,72.2,"HANFORD 1 S","CALIFORNIA",128
"USC00044890",1899,2026,"CA",36.3817,-119.0264,156.4,"LEMON COVE","CALIFORNIA",128
"USC00042239",1899,2025,"CA",32.9897,-116.5872,1414.3,"CUYAMACA","CALIFORNIA",127
"USC00045532",1899,2025,"CA",37.2889,-120.5158,46.9,"MERCED","CALIFORNIA",127
"USC00049452",1901,2026,"CA",35.5892,-119.3519,88.7,"WASCO","CALIFORNIA",126
"USC00041018",1901,2025,"CA",39.4539,-120.6556,1641.3,"BOWMAN DAM","CALIFORNIA",125
"USC00044223",1901,2025,"CA",32.8489,-115.5667,-19.5,"IMPERIAL","CALIFORNIA",125
"USC00044500",1902,2026,"CA",37.9567,-122.5447,44.2,"KENTFIELD","CALIFORNIA",125
"USC00047965",1902,2026,"CA",38.4558,-122.7133,50.6,"SANTA ROSA","CALIFORNIA",125
"USC00046168",1902,2025,"CA",37.2811,-121.0178,27.4,"NEWMAN","CALIFORNIA",124
"USC00044997",1903,2026,"CA",37.6819,-121.7514,161.2,"LIVERMORE","CALIFORNIA",124
"USC00046508",1903,2026,"CA",41.3019,-123.5386,122.8,"ORLEANS","CALIFORNIA",124
"USC00046506",1903,2025,"CA",39.7458,-122.1997,77.4,"ORLAND","CALIFORNIA",123
"USC00046252",1904,2026,"CA",37.2328,-119.5097,806.2,"N FK RS","CALIFORNIA",123
"USC00040383",1905,2026,"CA",38.9072,-121.0839,393.8,"AUBURN","CALIFORNIA",122
"USC00041912",1905,2026,"CA",39.09,-120.9469,723.3,"COLFAX","CALIFORNIA",122
"USC00046399",1905,2026,"CA",34.4478,-119.2275,227.1,"OJAI","CALIFORNIA",122
"USC00049855",1905,2025,"CA",37.7503,-119.5897,1224.7,"YOSEMITE PARK HQ","CALIFORNIA",121
"USC00048353",1906,2026,"CA",37.9672,-120.3872,510.5,"SONORA","CALIFORNIA",121
"USC00049699",1906,2026,"CA",39.5231,-122.3047,71.3,"WILLOWS 6 W","CALIFORNIA",121
"USW00093134",1906,2026,"CA",34.0236,-118.2911,54.6,"LOS ANGELES DOWNTOWN/USC","CALIFORNIA",121
"USC00041072",1906,2025,"CA",38.2575,-119.2286,1972.1,"BRIDGEPORT","CALIFORNIA",120
