"ID","FIRSTYEAR","LASTYEAR","STATE","LATITUDE","LONGITUDE","ELEVATION","NAME","STATE_NAME","RECORD_LENGTH"
"AQW00061705",1966,2026,"AS",-14.3306,-170.7136,3.7,"PAGO PAGO WSO AP","AMERICAN SAMOA",61
"CA001011500",1979,2024,"BC",48.9333,-123.75,75,"CHEMAINUS","BRITISH COLUMBIA",46
"CA001012055",1960,2024,"BC",48.8333,-124.05,171,"LAKE COWICHAN","BRITISH COLUMBIA",65
"CA001012475",1997,2025,"BC",48.4167,-123.2333,15,"DISCOVERY ISLAND","BRITISH COLUMBIA",29
"CA001012710",1991,2025,"BC",48.4333,-123.4333,3,"ESQUIMALT HARBOUR","BRITISH COLUMBIA",35
"CA001014820",1991,2025,"BC",48.5667,-123.5333,366,"MALAHAT","BRITISH COLUMBIA",35
"CA001015630",2007,2025,"BC",48.8167,-123.7167,47,"NORTH COWICHAN","BRITISH COLUMBIA",19
"CA001015638",1972,2024,"BC",48.7667,-123.2833,98,"NORTH PENDER ISLAND","BRITISH COLUMBIA",53
"CA001016640",1996,2025,"BC",48.3,-123.5333,3,"RACE ROCKS CS","BRITISH COLUMBIA",30
"CA001016940",1914,2023,"BC",48.6167,-123.4167,61,"SAANICHTON CDA","BRITISH COLUMBIA",110
"CA001017099",1991,2025,"BC",48.7833,-123.1333,178,"SATURNA CAPMON CS","BRITISH COLUMBIA",35
"CA001017101",1980,2025,"BC",48.7833,-123.05,24,"SATURNA ISLAND CS","BRITISH COLUMBIA",46
"CA001017230",1913,2023,"BC",48.65,-123.6333,138,"SHAWNIGAN LAKE","BRITISH COLUMBIA",111
"CA001017254",1992,2025,"BC",48.3833,-123.9167,22,"SHERINGHAM POINT","BRITISH COLUMBIA",34
"CA001018598",1992,2025,"BC",48.45,-123.3,60,"VICTORIA UNIVERSITY CS","BRITISH COLUMBIA",34
"CA001018610",1898,2025,"BC",48.4167,-123.3167,70,"VICTORIA GONZALES HTS","BRITISH COLUMBIA",128
"CA001018611",1973,2024,"BC",48.0333,-123.3333,70,"VICTORIA GONZALES CS","BRITISH COLUMBIA",52
"CA001020590",1992,2025,"BC",49.35,-124.1667,13,"BALLENAS ISLAND","BRITISH COLUMBIA",34
"CA001021261",1965,2024,"BC",49.95,-125.2667,109,"CAMPBELL RIVER A","BRITISH COLUMBIA",60
"CA001021330",1978,2024,"BC",50,-125.2,5,"CAPE MUDGE","BRITISH COLUMBIA",47
"CA001021480",1958,2024,"BC",50.3333,-125.45,23,"CHATHAM POINT","BRITISH COLUMBIA",67
"CA001021830",1944,2025,"BC",49.7167,-124.9,26,"COMOX A","BRITISH COLUMBIA",82
"CA001021988",1979,2024,"BC",49.7667,-125,81,"COURTENAY GRANTHAM","BRITISH COLUMBIA",46
"CA001021989",1986,2024,"BC",49.6833,-125.0333,40,"COURTENAY PUNTLEDGE","BRITISH COLUMBIA",39
"CA001022689",1992,2025,"BC",49.2167,-123.8,5,"ENTRANCE ISLAND CS","BRITISH COLUMBIA",34
"CA001022795",2000,2025,"BC",50.45,-126,8,"FANNY ISLAND","BRITISH COLUMBIA",26
"CA001024638",1981,2023,"BC",49.35,-124.5167,30,"LITTLE QUALICUM HATCHERY","BRITISH COLUMBIA",43
"CA001026170",1986,2024,"BC",50.9833,-127.7333,15,"PINE ISLAND","BRITISH COLUMBIA",39
"CA001026270",1944,2025,"BC",50.6833,-127.3667,22,"PORT HARDY A","BRITISH COLUMBIA",82
"CA001026562",2006,2024,"BC",49.3333,-124.4,58,"QUALICUM BEACH AIRPORT","BRITISH COLUMBIA",19
"CA001026565",1962,2024,"BC",49.4,-124.6167,8,"QUALICUM R FISH RESEARCH","BRITISH COLUMBIA",63
"CA001026639",1975,2024,"BC",50.0167,-125.3,46,"QUINSAM RIVER HATCHERY","BRITISH COLUMBIA",50
"CA001027403",1993,2025,"BC",49.4833,-124.4333,20,"SISTERS ISLAND","BRITISH COLUMBIA",33
"CA00102BFHH",1987,2024,"BC",49.2167,-123.8167,5,"ENTRANCE ISLAND","BRITISH COLUMBIA",38
"CA001030230",1961,2024,"BC",49.3333,-124.9833,74,"ALBERNI ROBERTSON CREEK","BRITISH COLUMBIA",64
"CA001031316",1984,2024,"BC",48.7833,-125.2167,26,"CAPE BEALE LIGHT","BRITISH COLUMBIA",41
"CA001031353",1965,2024,"BC",50.7833,-128.4333,72,"CAPE SCOTT","BRITISH COLUMBIA",60
"CA001032730",1908,2024,"BC",49.3833,-126.55,7,"ESTEVAN POINT","BRITISH COLUMBIA",117
"CA001032731",1977,2025,"BC",49.3833,-126.55,7,"ESTEVAN POINT CS","BRITISH COLUMBIA",49
"CA001034600",2011,2024,"BC",49.1167,-125.9167,11,"LENNARD ISLAND","BRITISH COLUMBIA",14
"CA001035612",1981,2024,"BC",48.8667,-124.65,15,"NITINAT RIVER HATCHERY","BRITISH COLUMBIA",44
"CA001035614",1978,2024,"BC",49.6,-126.6167,16,"NOOTKA LIGHTSTATION","BRITISH COLUMBIA",47
"CA001035940",1924,2024,"BC",48.7167,-125.1,37,"PACHENA POINT","BRITISH COLUMBIA",101
"CA001036570",1895,2024,"BC",50.5333,-127.65,3,"QUATSINO","BRITISH COLUMBIA",130
"CA001036572",1978,2024,"BC",50.4333,-128.0333,21,"QUATSINO LIGHTSTATION","BRITISH COLUMBIA",47
"CA001036B06",1992,2025,"BC",49.3167,-124.9333,76,"PORT ALBERNI (AUT)","BRITISH COLUMBIA",34
"CA001037090",1995,2025,"BC",50.8167,-128.9,112,"SARTINE ISLAND (AUT)","BRITISH COLUMBIA",31
"CA001037553",1995,2025,"BC",50.1167,-127.9333,99,"SOLANDER ISLAND (AUT)","BRITISH COLUMBIA",31
"CA001037899",1993,2024,"BC",49.9333,-126.65,9,"TAHSIS VILLAGE NORTH","BRITISH COLUMBIA",32
"CA001038205",1943,2023,"BC",49.0833,-125.7667,24,"TOFINO A","BRITISH COLUMBIA",81
"CA001038332",1988,2024,"BC",48.95,-125.5333,30,"UCLUELET KENNEDY CAMP","BRITISH COLUMBIA",37
