"X","ID","LATITUDE","LONGITUDE","ELEMENT","FIRSTYEAR","LASTYEAR","STATE","STATE_NAME"
"4673","USC00439984",43.6303,-72.5072,"TMAX",1892,2025,"VT","VERMONT"
"4651","USC00431580",43.9572,-73.2106,"TMAX",1894,2025,"VT","VERMONT"
"4666","USC00437054",44.42,-72.0194,"TMAX",1894,2025,"VT","VERMONT"
"4665","USC00436995",43.6253,-72.9781,"TMAX",1916,2025,"VT","VERMONT"
"6536","USW00014742",44.4683,-73.15,"TMAX",1940,2025,"VT","VERMONT"
"7311","USW00094705",44.205,-72.5656,"TMAX",1948,2025,"VT","VERMONT"
"4670","USC00438556",43.7917,-72.2578,"TMAX",1951,2025,"VT","VERMONT"
"4659","USC00435416",44.5247,-72.8153,"TMAX",1954,2025,"VT","VERMONT"
"4658","USC00435376",44.5328,-72.6153,"TMAX",1962,2025,"VT","VERMONT"
"4663","USC00436335",43.2628,-72.9056,"TMAX",1964,2025,"VT","VERMONT"
"4667","USC00437607",44.6258,-73.3031,"TMAX",1969,2024,"VT","VERMONT"
"4668","USC00437612",44.0725,-72.9736,"TMAX",1981,2025,"VT","VERMONT"
"4654","USC00434120",44.8128,-71.8903,"TMAX",1990,2025,"VT","VERMONT"
"4652","USC00432314",44.6425,-71.8908,"TMAX",1993,2025,"VT","VERMONT"
"7019","USW00054740",43.3422,-72.5214,"TMAX",1996,2025,"VT","VERMONT"
