"ID","FIRSTYEAR","LASTYEAR","STATE","LATITUDE","LONGITUDE","ELEVATION","NAME","STATE_NAME","RECORD_LENGTH"
"USW00026616",1897,2026,"AK",66.8856,-162.6067,3.4,"KOTZEBUE AP","ALASKA",130
"USC00508525",1898,2026,"AK",59.4547,-135.3136,10.7,"SKAGWAY","ALASKA",129
"USW00026413",1899,2026,"AK",66.5706,-145.2342,132,"FT YUKON","ALASKA",128
"USW00026523",1899,2026,"AK",60.5792,-151.2414,30.2,"KENAI AP","ALASKA",128
"USW00026617",1900,2026,"AK",64.5111,-165.44,5.5,"NOME AP","ALASKA",127
"USC00502607",1901,2026,"AK",64.7856,-141.2036,259.1,"EAGLE","ALASKA",126
"USW00027502",1901,2026,"AK",71.2869,-156.7394,8.2,"BARROW AP","ALASKA",126
"USW00026529",1902,2026,"AK",65.173,-152.1067,68.6,"TANANA AP","ALASKA",125
"USC00509641",1904,2025,"AK",64.8569,-147.8611,144.8,"UNIVERSITY EXP STN","ALASKA",122
"USW00026438",1908,2026,"AK",60.1292,-149.4186,4.3,"SEWARD AP","ALASKA",119
"USW00026410",1909,2026,"AK",60.4861,-145.4444,14.6,"CORDOVA AP","ALASKA",118
"USW00026425",1909,2026,"AK",62.1592,-145.4589,481,"GULKANA AP","ALASKA",118
"USC00505884",1909,2025,"AK",57.8425,-152.4586,39.6,"MONASHKA CREEK DAM","ALASKA",117
"USW00025325",1910,2026,"AK",55.3586,-131.7219,25.6,"KETCHIKAN AP","ALASKA",117
"USW00025323",1911,2026,"AK",59.2428,-135.5114,6.4,"HAINES AP","ALASKA",116
"USC00502587",1915,2026,"AK",53.895,-166.5433,3,"DUTCH HARBOR","ALASKA",112
"USW00025713",1915,2026,"AK",57.155,-170.2228,7.9,"SAINT PAUL IS AP","ALASKA",112
"USC00500433",1916,2026,"AK",52.2167,-174.2,11.9,"ATKA","ALASKA",111
"USW00026409",1916,2026,"AK",61.2164,-149.8572,38.4,"ANCHORAGE MERRILL FLD","ALASKA",111
"USW00026435",1916,2026,"AK",64.5472,-149.0872,110,"NENANA MUNI AP","ALASKA",111
"USC00500363",1917,2026,"AK",58.3183,-134.1003,28,"ANNEX CREEK","ALASKA",110
"USC00509919",1917,2026,"AK",56.4733,-132.3875,17.1,"WRANGELL AP","ALASKA",110
"USW00025339",1917,2026,"AK",59.5122,-139.6711,12.5,"YAKUTAT AP","ALASKA",110
"USW00026415",1917,2026,"AK",63.9931,-145.7214,388,"BIG DELTA AP","ALASKA",110
"USC00505733",1917,2025,"AK",61.5664,-149.2542,52.4,"MATANUSKA EXP FARM","ALASKA",109
"USW00026528",1918,2026,"AK",62.3197,-150.0975,106.7,"TALKEETNA AP","ALASKA",109
"USC00502457",1919,2026,"AK",59.05,-158.5167,26.2,"DILLINGHAM FAA AP","ALASKA",108
"USC00508437",1919,2026,"AK",66.2494,-166.0894,3,"SHISHMAREF","ALASKA",108
"USC00509869",1919,2026,"AK",67.4083,-150.1095,360,"WISEMAN","ALASKA",108
"USW00025506",1920,2026,"AK",59.7492,-154.9089,46.3,"ILIAMNA AP","ALASKA",107
"USW00026516",1920,2026,"AK",61.5833,-159.5333,26.2,"ANIAK AP","ALASKA",107
"USC00509798",1922,2026,"AK",64.6833,-163.4,6.1,"WHITE MTN","ALASKA",105
"USC00505778",1923,2026,"AK",63.7175,-148.9692,630.9,"MCKINLEY PARK","ALASKA",104
"USW00025322",1923,2026,"AK",58.4111,-135.7089,12.2,"GUSTAVUS","ALASKA",104
"USW00026615",1923,2026,"AK",60.785,-161.8294,32.6,"BETHEL AP","ALASKA",104
"USC00507431",1924,2026,"AK",68.35,-166.8,3,"POINT HOPE","ALASKA",103
"USW00025329",1926,2026,"AK",56.8056,-132.9372,32.6,"PETERSBURG 1","ALASKA",101
"USW00026411",1929,2026,"AK",64.8031,-147.8761,131.1,"FAIRBANKS INTL AP","ALASKA",98
"USW00025507",1932,2026,"AK",59.6419,-151.4911,19.2,"HOMER AP","ALASKA",95
"USC00501987",1935,2026,"AK",65.4939,-144.6422,262.1,"CIRCLE HOT SPRINGS","ALASKA",92
"USW00025309",1936,2026,"AK",58.3539,-134.5561,5.8,"JUNEAU AP","ALASKA",91
"USW00026703",1936,2026,"AK",63.7833,-171.75,8.2,"GAMBELL","ALASKA",91
"USW00027503",1935,2024,"AK",70.6367,-160.0131,12.5,"WAINWRIGHT AP","ALASKA",90
"USC00505519",1936,2025,"AK",56.3831,-134.6497,4.3,"LITTLE PORT WALTER","ALASKA",90
"USC00502227",1936,2024,"AK",55.4772,-133.1408,13.1,"CRAIG","ALASKA",89
"USC00503821",1936,2023,"AK",55.9158,-130.0258,24.4,"HYDER","ALASKA",88
"USC00507365",1939,2026,"AK",59.0167,-161.7833,6.1,"PLATINUM","ALASKA",88
"USC00503695",1941,2026,"AK",58.1072,-135.4278,39.6,"HOONAH","ALASKA",86
"USC00507442",1941,2026,"AK",69.7328,-163.0053,3,"PT LAY","ALASKA",86
"USC00508183",1941,2026,"AK",55.3167,-160.5167,6.7,"SAND POINT","ALASKA",86
