timestamp,temperature_C,pressure_hPa,humidity_pct,light_lux,oxidised_kO,reduced_kO,nh3_kO,pm1_ug_m3,pm25_ug_m3,pm10_ug_m3
2026-03-01 13:49:38,9.03,973.14,27.58,36.12,11.16,0.09,0.07,5.00,9.00,13.00
2026-03-01 13:53:36,13.58,715.46,73.50,224.60,177.17,3.11,0.70,1.00,1.00,1.00
2026-03-01 14:02:43,11.61,715.46,73.50,1.00,9.94,0.75,0.37,3.00,6.00,6.00
2026-03-01 14:12:35,38.35,972.20,11.70,1.00,5.30,549.41,133.68,6.00,7.00,7.00
2026-03-01 14:22:25,36.41,972.16,12.85,1.00,8.08,570.57,174.07,4.00,6.00,6.00
2026-03-01 14:32:15,35.12,972.13,12.49,1.00,11.10,574.99,209.23,4.00,6.00,6.00
2026-03-01 14:42:06,35.92,972.09,12.89,1.00,12.52,539.17,191.27,3.00,6.00,6.00
2026-03-01 14:51:56,37.72,972.10,10.61,1.00,15.80,558.85,229.85,3.00,5.00,5.00
2026-03-01 15:01:46,34.41,972.03,12.60,1.00,17.83,535.60,220.47,3.00,5.00,5.00
2026-03-01 15:11:36,37.24,971.97,11.38,1.00,19.89,533.47,224.96,3.00,5.00,5.00
2026-03-01 15:21:27,35.36,971.95,12.01,1.00,23.28,547.92,246.15,3.00,5.00,5.00
2026-03-01 15:31:17,34.95,971.90,12.96,1.00,25.36,516.36,243.85,3.00,5.00,5.00
2026-03-01 15:41:07,35.36,971.89,12.11,1.00,27.61,535.24,257.79,3.00,5.00,5.00
2026-03-01 15:50:57,35.41,971.86,11.89,1.00,29.59,521.05,260.71,2.00,4.00,4.00
2026-03-01 16:00:48,34.20,971.83,13.71,1.00,31.60,498.95,239.98,1.00,3.00,4.00
2026-03-01 16:10:38,36.50,971.78,12.64,1.00,31.37,487.93,227.54,1.00,3.00,4.00
2026-03-01 16:20:28,34.49,971.68,14.55,1.00,33.58,496.78,220.08,1.00,3.00,4.00
2026-03-01 16:30:18,35.62,971.54,12.05,1.00,36.59,515.03,255.60,1.00,3.00,4.00
2026-03-01 16:40:08,37.34,971.41,13.22,1.00,34.70,457.33,211.90,1.00,2.00,4.00
2026-03-01 16:49:59,33.36,971.26,14.02,1.00,44.57,517.69,269.50,1.00,2.00,4.00
2026-03-01 16:59:49,34.74,971.12,13.69,1.00,46.44,505.60,264.73,1.00,2.00,4.00
2026-03-01 17:09:39,35.82,970.99,13.34,1.00,43.34,466.03,232.44,1.00,2.00,4.00
2026-03-01 17:19:29,35.06,970.82,13.53,1.00,52.12,508.17,276.75,1.00,2.00,3.00
2026-03-01 17:29:20,36.35,970.73,13.53,1.00,45.99,461.65,231.35,1.00,2.00,3.00
2026-03-01 17:39:10,34.11,970.59,13.37,1.00,60.82,523.42,295.37,1.00,2.00,3.00
2026-03-01 17:49:00,33.81,970.48,14.32,1.00,64.81,496.47,284.45,1.00,2.00,3.00
2026-03-01 17:58:50,32.75,970.37,15.02,1.00,77.99,521.73,304.23,1.00,2.00,3.00
2026-03-01 18:08:41,33.92,970.32,14.45,1.00,81.27,519.03,326.02,1.00,2.00,3.00
2026-03-01 18:18:31,33.81,970.25,15.23,1.00,77.46,504.32,297.64,1.00,2.00,3.00
2026-03-01 18:28:21,33.75,970.23,14.45,1.00,84.02,513.05,311.76,1.00,2.00,3.00
2026-03-01 18:38:11,34.24,970.11,13.82,1.00,89.13,514.04,341.90,1.00,2.00,3.00
2026-03-01 18:48:02,32.63,970.09,14.69,1.00,97.62,524.79,355.87,1.00,2.00,3.00
2026-03-01 18:57:52,32.83,970.08,14.45,1.00,111.56,533.12,360.22,1.00,2.00,3.00
2026-03-01 19:07:42,32.35,969.99,14.54,1.00,104.81,518.69,371.59,1.00,2.00,3.00
2026-03-01 19:17:32,31.32,970.00,15.66,1.00,117.95,523.76,378.38,1.00,2.00,3.00
2026-03-01 19:27:22,33.48,969.91,14.46,1.00,106.99,498.64,336.83,2.00,3.00,4.00
