timestamp,temperature_C,pressure_hPa,humidity_pct,light_lux,oxidised_kO,reduced_kO,nh3_kO,pm1_ug_m3,pm25_ug_m3,pm10_ug_m3
2026-02-27 23:39:01,13.97,669.33,70.49,114.23,64.78,5.16,2.69,2.00,2.00,2.00
2026-02-27 23:42:07,15.59,669.33,70.49,1.00,41.25,3.24,4.13,4.00,7.00,7.00
2026-02-27 23:52:00,26.80,972.82,31.17,1.00,18.76,318.47,128.12,7.00,7.00,7.00
2026-02-28 00:01:50,29.16,972.76,27.15,1.00,31.11,276.30,129.05,6.00,6.00,6.00
2026-02-28 00:11:40,29.30,972.80,26.48,1.00,42.96,328.25,153.66,6.00,6.00,6.00
2026-02-28 00:21:30,28.88,972.88,25.45,1.00,49.94,260.40,135.68,5.00,6.00,6.00
2026-02-28 00:31:21,28.30,972.91,25.89,1.00,54.49,294.25,145.84,5.00,6.00,6.00
2026-02-28 00:41:11,28.09,972.83,25.25,1.00,58.43,293.38,149.50,5.00,6.00,6.00
2026-02-28 00:51:01,28.11,972.77,25.16,1.00,60.60,254.52,138.59,5.00,6.00,6.00
2026-02-28 01:00:51,28.04,972.90,25.83,1.00,62.93,308.50,154.42,5.00,6.00,6.00
2026-02-28 01:10:41,28.04,972.86,25.46,1.00,65.04,294.00,154.37,5.00,6.00,6.00
2026-02-28 01:20:32,27.98,972.80,25.40,1.00,67.34,313.69,165.04,5.00,6.00,7.00
2026-02-28 01:30:22,27.97,972.69,24.77,1.00,69.24,303.97,160.90,5.00,6.00,7.00
2026-02-28 01:40:12,27.87,972.66,24.66,1.00,70.20,241.94,154.87,5.00,7.00,7.00
2026-02-28 01:50:02,27.93,972.75,24.40,1.00,71.65,260.81,155.41,5.00,7.00,7.00
2026-02-28 01:59:53,27.93,972.87,24.91,1.00,71.35,208.02,145.10,5.00,7.00,7.00
2026-02-28 02:09:43,27.88,972.90,23.66,1.00,74.08,267.04,151.98,5.00,7.00,7.00
2026-02-28 02:19:33,27.89,972.81,23.91,1.00,74.11,226.73,149.72,5.00,7.00,7.00
