urban_setting,demographic_group,canopy_cover_percent,mean_air_temperature_c,deployment_hours,logger_category
School,Low-income,42.9,33.2,24,Cold-chain food logistics data logger
School,Low-income,54.5,32.8,24,Cold-chain food logistics data logger
School,Low-income,38.0,33.1,24,Cold-chain food logistics data logger
School,Low-income,57.1,34.5,24,Cold-chain food logistics data logger
School,Low-income,46.1,34.8,24,Cold-chain food logistics data logger
School,Low-income,21.7,36.3,24,Cold-chain food logistics data logger
School,Low-income,19.4,35.4,24,Cold-chain food logistics data logger
School,Low-income,38.7,33.8,24,Cold-chain food logistics data logger
School,Low-income,61.4,36.5,24,Cold-chain food logistics data logger
School,Low-income,13.2,36.6,24,Cold-chain food logistics data logger
School,Low-income,60.6,33.2,24,Cold-chain food logistics data logger
School,Low-income,54.8,32.2,24,Cold-chain food logistics data logger
School,Middle-income,34.1,36.3,24,Cold-chain food logistics data logger
School,Middle-income,62.4,33.2,24,Cold-chain food logistics data logger
School,Middle-income,60.7,34.5,24,Cold-chain food logistics data logger
School,Middle-income,55.2,35.8,24,Cold-chain food logistics data logger
School,Middle-income,54.3,32.1,24,Cold-chain food logistics data logger
School,Middle-income,66.0,31.5,24,Cold-chain food logistics data logger
School,Middle-income,51.3,32.8,24,Cold-chain food logistics data logger
School,Middle-income,35.8,36.1,24,Cold-chain food logistics data logger
School,Middle-income,28.8,34.9,24,Cold-chain food logistics data logger
School,Middle-income,38.4,33.1,24,Cold-chain food logistics data logger
School,Middle-income,45.7,32.0,24,Cold-chain food logistics data logger
School,Middle-income,38.3,32.7,24,Cold-chain food logistics data logger
School,High-income,45.1,33.7,24,Cold-chain food logistics data logger
School,High-income,57.9,33.8,24,Cold-chain food logistics data logger
School,High-income,38.7,34.9,24,Cold-chain food logistics data logger
School,High-income,64.5,32.3,24,Cold-chain food logistics data logger
School,High-income,42.9,34.5,24,Cold-chain food logistics data logger
School,High-income,44.9,33.7,24,Cold-chain food logistics data logger
School,High-income,28.5,35.1,24,Cold-chain food logistics data logger
School,High-income,32.7,33.5,24,Cold-chain food logistics data logger
School,High-income,34.7,35.9,24,Cold-chain food logistics data logger
School,High-income,51.7,34.4,24,Cold-chain food logistics data logger
School,High-income,54.2,33.2,24,Cold-chain food logistics data logger
School,High-income,42.0,33.6,24,Cold-chain food logistics data logger
Park,Low-income,40.6,33.8,24,Cold-chain food logistics data logger
Park,Low-income,59.4,32.5,24,Cold-chain food logistics data logger
Park,Low-income,37.7,35.9,24,Cold-chain food logistics data logger
Park,Low-income,48.7,34.0,24,Cold-chain food logistics data logger
Park,Low-income,43.5,32.9,24,Cold-chain food logistics data logger
Park,Low-income,71.0,34.0,24,Cold-chain food logistics data logger
Park,Low-income,38.1,33.7,24,Cold-chain food logistics data logger
Park,Low-income,51.6,33.2,24,Cold-chain food logistics data logger
Park,Low-income,56.9,34.3,24,Cold-chain food logistics data logger
Park,Low-income,40.0,34.5,24,Cold-chain food logistics data logger
Park,Low-income,68.9,31.8,24,Cold-chain food logistics data logger
Park,Low-income,46.3,35.1,24,Cold-chain food logistics data logger
Park,Middle-income,44.1,34.3,24,Cold-chain food logistics data logger
Park,Middle-income,50.3,33.7,24,Cold-chain food logistics data logger
Park,Middle-income,62.0,32.9,24,Cold-chain food logistics data logger
Park,Middle-income,29.2,38.5,24,Cold-chain food logistics data logger
Park,Middle-income,35.4,35.6,24,Cold-chain food logistics data logger
Park,Middle-income,51.5,33.6,24,Cold-chain food logistics data logger
Park,Middle-income,20.7,37.4,24,Cold-chain food logistics data logger
Park,Middle-income,65.2,33.9,24,Cold-chain food logistics data logger
Park,Middle-income,45.8,36.5,24,Cold-chain food logistics data logger
Park,Middle-income,25.0,36.3,24,Cold-chain food logistics data logger
Park,Middle-income,60.5,33.3,24,Cold-chain food logistics data logger
Park,Middle-income,32.1,34.0,24,Cold-chain food logistics data logger
Park,High-income,26.9,34.1,24,Cold-chain food logistics data logger
Park,High-income,41.7,32.3,24,Cold-chain food logistics data logger
Park,High-income,57.1,32.5,24,Cold-chain food logistics data logger
Park,High-income,56.0,34.0,24,Cold-chain food logistics data logger
Park,High-income,17.2,35.1,24,Cold-chain food logistics data logger
Park,High-income,26.4,36.0,24,Cold-chain food logistics data logger
Park,High-income,63.4,30.4,24,Cold-chain food logistics data logger
Park,High-income,48.6,33.7,24,Cold-chain food logistics data logger
Park,High-income,72.4,29.8,24,Cold-chain food logistics data logger
Park,High-income,55.1,34.1,24,Cold-chain food logistics data logger
Park,High-income,40.7,34.2,24,Cold-chain food logistics data logger
Park,High-income,70.3,32.1,24,Cold-chain food logistics data logger
Commercial,Low-income,50.5,33.0,24,Cold-chain food logistics data logger
Commercial,Low-income,68.5,31.3,24,Cold-chain food logistics data logger
Commercial,Low-income,25.6,36.0,24,Cold-chain food logistics data logger
Commercial,Low-income,44.2,34.3,24,Cold-chain food logistics data logger
Commercial,Low-income,41.5,36.3,24,Cold-chain food logistics data logger
Commercial,Low-income,34.1,33.1,24,Cold-chain food logistics data logger
Commercial,Low-income,27.9,35.0,24,Cold-chain food logistics data logger
Commercial,Low-income,66.6,31.7,24,Cold-chain food logistics data logger
Commercial,Low-income,47.8,34.2,24,Cold-chain food logistics data logger
Commercial,Low-income,55.5,34.3,24,Cold-chain food logistics data logger
Commercial,Low-income,46.0,32.8,24,Cold-chain food logistics data logger
Commercial,Low-income,33.0,34.1,24,Cold-chain food logistics data logger
Commercial,Middle-income,56.3,31.4,24,Cold-chain food logistics data logger
Commercial,Middle-income,18.5,34.1,24,Cold-chain food logistics data logger
Commercial,Middle-income,56.8,33.4,24,Cold-chain food logistics data logger
Commercial,Middle-income,53.8,34.8,24,Cold-chain food logistics data logger
Commercial,Middle-income,35.7,34.2,24,Cold-chain food logistics data logger
Commercial,Middle-income,6.5,38.0,24,Cold-chain food logistics data logger
Commercial,Middle-income,32.8,36.3,24,Cold-chain food logistics data logger
Commercial,Middle-income,22.3,37.2,24,Cold-chain food logistics data logger
Commercial,Middle-income,55.4,32.8,24,Cold-chain food logistics data logger
Commercial,Middle-income,47.5,31.9,24,Cold-chain food logistics data logger
Commercial,Middle-income,56.3,32.1,24,Cold-chain food logistics data logger
Commercial,Middle-income,43.4,37.2,24,Cold-chain food logistics data logger
Commercial,High-income,35.7,35.1,24,Cold-chain food logistics data logger
Commercial,High-income,35.7,36.1,24,Cold-chain food logistics data logger
Commercial,High-income,59.0,35.0,24,Cold-chain food logistics data logger
Commercial,High-income,36.0,37.5,24,Cold-chain food logistics data logger
Commercial,High-income,24.2,35.5,24,Cold-chain food logistics data logger
Commercial,High-income,54.9,33.3,24,Cold-chain food logistics data logger
Commercial,High-income,49.1,34.0,24,Cold-chain food logistics data logger
Commercial,High-income,46.8,32.7,24,Cold-chain food logistics data logger
Commercial,High-income,66.1,34.3,24,Cold-chain food logistics data logger
Commercial,High-income,54.2,34.6,24,Cold-chain food logistics data logger
Commercial,High-income,54.5,32.7,24,Cold-chain food logistics data logger
Commercial,High-income,72.5,33.1,24,Cold-chain food logistics data logger
Parking Lot,Low-income,63.7,35.7,24,Cold-chain food logistics data logger
Parking Lot,Low-income,49.8,33.7,24,Cold-chain food logistics data logger
Parking Lot,Low-income,56.1,34.6,24,Cold-chain food logistics data logger
Parking Lot,Low-income,42.6,35.2,24,Cold-chain food logistics data logger
Parking Lot,Low-income,31.1,32.1,24,Cold-chain food logistics data logger
Parking Lot,Low-income,47.4,31.5,24,Cold-chain food logistics data logger
Parking Lot,Low-income,63.6,35.3,24,Cold-chain food logistics data logger
Parking Lot,Low-income,53.4,32.8,24,Cold-chain food logistics data logger
Parking Lot,Low-income,62.6,32.8,24,Cold-chain food logistics data logger
Parking Lot,Low-income,55.6,33.0,24,Cold-chain food logistics data logger
Parking Lot,Low-income,70.6,33.6,24,Cold-chain food logistics data logger
Parking Lot,Low-income,35.4,35.1,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,42.8,36.1,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,52.7,34.9,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,62.4,34.1,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,54.5,35.4,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,52.5,35.5,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,51.0,33.9,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,30.8,35.1,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,43.0,33.9,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,78.1,30.3,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,46.3,33.3,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,47.1,36.4,24,Cold-chain food logistics data logger
Parking Lot,Middle-income,55.9,34.8,24,Cold-chain food logistics data logger
Parking Lot,High-income,42.2,31.6,24,Cold-chain food logistics data logger
Parking Lot,High-income,26.5,33.9,24,Cold-chain food logistics data logger
Parking Lot,High-income,12.9,36.6,24,Cold-chain food logistics data logger
Parking Lot,High-income,47.7,35.7,24,Cold-chain food logistics data logger
Parking Lot,High-income,51.2,33.6,24,Cold-chain food logistics data logger
Parking Lot,High-income,31.5,35.3,24,Cold-chain food logistics data logger
Parking Lot,High-income,38.9,35.4,24,Cold-chain food logistics data logger
Parking Lot,High-income,72.2,33.5,24,Cold-chain food logistics data logger
Parking Lot,High-income,58.0,34.7,24,Cold-chain food logistics data logger
Parking Lot,High-income,52.5,34.6,24,Cold-chain food logistics data logger
Parking Lot,High-income,48.7,32.5,24,Cold-chain food logistics data logger
Parking Lot,High-income,28.3,35.3,24,Cold-chain food logistics data logger
Playground,Low-income,66.9,32.6,24,Cold-chain food logistics data logger
Playground,Low-income,13.2,34.9,24,Cold-chain food logistics data logger
Playground,Low-income,84.6,30.8,24,Cold-chain food logistics data logger
Playground,Low-income,53.5,34.3,24,Cold-chain food logistics data logger
Playground,Low-income,29.9,34.1,24,Cold-chain food logistics data logger
Playground,Low-income,57.0,33.1,24,Cold-chain food logistics data logger
Playground,Low-income,40.7,35.4,24,Cold-chain food logistics data logger
Playground,Low-income,47.5,35.6,24,Cold-chain food logistics data logger
Playground,Low-income,46.3,34.9,24,Cold-chain food logistics data logger
Playground,Low-income,46.8,35.3,24,Cold-chain food logistics data logger
Playground,Low-income,59.4,32.9,24,Cold-chain food logistics data logger
Playground,Low-income,61.8,32.5,24,Cold-chain food logistics data logger
Playground,Middle-income,15.0,36.5,24,Cold-chain food logistics data logger
Playground,Middle-income,58.6,33.4,24,Cold-chain food logistics data logger
Playground,Middle-income,37.3,34.5,24,Cold-chain food logistics data logger
Playground,Middle-income,43.2,32.5,24,Cold-chain food logistics data logger
Playground,Middle-income,36.4,34.0,24,Cold-chain food logistics data logger
Playground,Middle-income,39.7,35.8,24,Cold-chain food logistics data logger
Playground,Middle-income,55.2,33.2,24,Cold-chain food logistics data logger
Playground,Middle-income,35.0,33.9,24,Cold-chain food logistics data logger
Playground,Middle-income,23.2,34.2,24,Cold-chain food logistics data logger
Playground,Middle-income,37.2,33.8,24,Cold-chain food logistics data logger
Playground,Middle-income,46.9,32.6,24,Cold-chain food logistics data logger
Playground,Middle-income,47.3,36.5,24,Cold-chain food logistics data logger
Playground,High-income,47.2,33.3,24,Cold-chain food logistics data logger
Playground,High-income,32.3,35.7,24,Cold-chain food logistics data logger
Playground,High-income,52.3,33.8,24,Cold-chain food logistics data logger
Playground,High-income,42.4,36.0,24,Cold-chain food logistics data logger
Playground,High-income,34.5,34.3,24,Cold-chain food logistics data logger
Playground,High-income,37.7,30.1,24,Cold-chain food logistics data logger
Playground,High-income,42.3,32.9,24,Cold-chain food logistics data logger
Playground,High-income,65.0,32.8,24,Cold-chain food logistics data logger
Playground,High-income,62.8,33.2,24,Cold-chain food logistics data logger
Playground,High-income,32.7,35.3,24,Cold-chain food logistics data logger
Playground,High-income,47.6,33.3,24,Cold-chain food logistics data logger
Playground,High-income,61.6,34.9,24,Cold-chain food logistics data logger
