urban_setting,demographic_group,canopy_cover_percent,ir_surface_temperature_c,measurement_day,measurement_hour
School,Low-income,70.4,37.3,29,16
School,Low-income,25.8,43.7,27,17
School,Low-income,76.5,39.1,8,9
School,Low-income,37.1,41.0,20,14
School,Low-income,37.6,43.8,17,9
School,Low-income,35.0,44.4,7,13
School,Low-income,38.5,46.1,4,17
School,Low-income,19.6,41.6,17,15
School,Low-income,83.1,36.7,29,16
School,Low-income,16.6,40.1,1,16
School,Low-income,52.5,32.3,22,13
School,Low-income,2.8,42.4,28,10
School,Low-income,27.6,32.6,2,14
School,Low-income,29.2,49.0,3,12
School,Low-income,74.3,34.1,4,9
School,Low-income,27.6,53.1,10,12
School,Low-income,43.0,42.5,22,12
School,Low-income,53.8,51.1,27,15
School,Low-income,62.1,39.9,13,17
School,Low-income,69.8,35.3,18,14
School,Low-income,42.5,33.7,23,11
School,Low-income,0.0,53.7,28,13
School,Low-income,58.8,43.7,18,14
School,Low-income,36.5,33.8,16,14
School,Low-income,26.7,45.9,28,15
School,Low-income,0.0,34.4,12,17
School,Low-income,16.1,44.8,8,14
School,Low-income,33.1,49.2,29,9
School,Low-income,48.8,39.1,22,16
School,Low-income,65.1,38.9,21,9
School,Low-income,65.7,40.9,14,14
School,Low-income,26.0,41.0,17,9
School,Low-income,70.9,37.3,1,13
School,Low-income,43.9,48.8,24,10
School,Low-income,40.4,40.2,25,11
School,Low-income,20.9,43.1,22,9
School,Low-income,51.5,42.0,9,13
School,Low-income,67.6,38.8,29,11
School,Low-income,23.2,39.1,14,17
School,Low-income,30.6,44.3,5,15
School,Middle-income,17.4,42.8,30,9
School,Middle-income,52.4,50.1,29,10
School,Middle-income,17.6,41.8,16,15
School,Middle-income,16.7,41.3,12,10
School,Middle-income,40.3,33.4,26,15
School,Middle-income,67.8,33.8,6,14
School,Middle-income,12.0,48.7,13,15
School,Middle-income,57.1,47.3,24,9
School,Middle-income,73.5,31.9,8,15
School,Middle-income,52.1,36.9,18,12
School,Middle-income,46.9,37.8,21,10
School,Middle-income,68.8,34.4,12,13
School,Middle-income,55.8,36.8,8,14
School,Middle-income,39.7,52.7,8,15
School,Middle-income,7.9,48.2,18,10
School,Middle-income,37.7,42.4,19,10
School,Middle-income,66.7,34.8,14,17
School,Middle-income,44.4,38.3,29,9
School,Middle-income,49.8,39.9,6,14
School,Middle-income,47.3,32.8,20,11
School,Middle-income,36.8,42.4,27,13
School,Middle-income,72.9,45.4,1,11
School,Middle-income,26.1,50.6,14,15
School,Middle-income,33.5,46.9,9,11
School,Middle-income,17.1,43.1,16,12
School,Middle-income,73.8,33.9,15,13
School,Middle-income,15.4,47.0,26,16
School,Middle-income,31.6,44.9,22,11
School,Middle-income,29.3,43.6,19,13
School,Middle-income,43.2,50.8,11,9
School,Middle-income,53.5,38.7,9,13
School,Middle-income,40.3,37.9,17,10
School,Middle-income,54.2,40.1,19,9
School,Middle-income,21.5,47.9,18,9
School,Middle-income,54.4,29.7,23,12
School,Middle-income,13.1,52.9,29,15
School,Middle-income,30.5,44.7,29,13
School,Middle-income,62.8,22.7,23,17
School,Middle-income,19.5,51.7,8,15
School,Middle-income,38.1,35.6,15,12
School,High-income,52.3,39.7,9,14
School,High-income,44.0,43.9,8,14
School,High-income,61.8,43.7,21,10
School,High-income,76.9,30.1,7,17
School,High-income,31.0,44.8,30,15
School,High-income,8.2,47.1,7,16
School,High-income,40.2,40.0,1,11
School,High-income,30.7,44.8,15,11
School,High-income,69.8,30.3,10,16
School,High-income,54.5,44.2,29,10
School,High-income,36.0,47.7,27,13
School,High-income,59.8,38.9,2,13
School,High-income,36.7,38.9,30,16
School,High-income,8.9,44.4,13,16
School,High-income,63.1,35.6,25,15
School,High-income,40.3,54.1,18,13
School,High-income,70.2,36.7,27,12
School,High-income,11.4,46.3,8,9
School,High-income,43.9,38.3,27,9
School,High-income,41.8,29.5,1,16
School,High-income,50.3,41.8,24,13
School,High-income,39.0,35.5,20,11
School,High-income,51.5,42.5,18,10
School,High-income,36.1,44.7,14,14
School,High-income,42.1,44.7,2,14
School,High-income,63.0,37.2,5,13
School,High-income,83.2,38.4,23,16
School,High-income,38.0,42.8,11,17
School,High-income,51.7,41.3,4,12
School,High-income,14.5,41.5,8,9
School,High-income,18.8,48.7,25,9
School,High-income,0.0,48.2,27,13
School,High-income,50.2,43.9,25,9
School,High-income,26.9,42.4,6,9
School,High-income,51.3,46.4,23,13
School,High-income,41.3,43.0,6,16
School,High-income,54.8,35.7,4,9
School,High-income,53.2,41.4,27,12
School,High-income,31.2,45.4,4,17
School,High-income,50.5,33.5,21,11
Park,Low-income,63.9,40.6,22,9
Park,Low-income,44.4,42.4,2,13
Park,Low-income,11.4,46.8,18,14
Park,Low-income,35.9,30.9,19,15
Park,Low-income,36.0,41.5,17,14
Park,Low-income,49.0,47.2,29,11
Park,Low-income,31.1,51.0,8,12
Park,Low-income,42.4,39.4,24,12
Park,Low-income,46.4,31.5,13,11
Park,Low-income,0.0,40.0,14,14
Park,Low-income,40.7,42.4,19,12
Park,Low-income,33.1,39.5,12,9
Park,Low-income,47.6,45.5,15,14
Park,Low-income,25.1,36.1,17,14
Park,Low-income,36.9,39.6,14,16
Park,Low-income,59.7,43.7,25,13
Park,Low-income,20.3,52.3,29,11
Park,Low-income,13.6,44.7,11,9
Park,Low-income,67.1,35.7,18,15
Park,Low-income,38.5,38.7,18,16
Park,Low-income,45.6,39.9,30,17
Park,Low-income,79.3,34.7,24,9
Park,Low-income,29.8,48.4,28,12
Park,Low-income,35.7,43.7,28,17
Park,Low-income,41.7,40.1,17,10
Park,Low-income,13.7,42.6,5,13
Park,Low-income,37.7,34.9,24,9
Park,Low-income,0.0,46.5,22,17
Park,Low-income,35.6,29.7,20,14
Park,Low-income,67.2,40.6,7,15
Park,Low-income,26.5,41.2,12,10
Park,Low-income,17.4,47.5,11,11
Park,Low-income,34.1,45.7,15,14
Park,Low-income,43.6,41.8,25,17
Park,Low-income,42.0,41.1,10,17
Park,Low-income,22.8,39.8,11,10
Park,Low-income,55.9,45.8,28,10
Park,Low-income,33.5,34.6,12,9
Park,Low-income,16.8,45.8,6,12
Park,Low-income,12.3,47.1,30,10
Park,Middle-income,24.6,46.3,6,9
Park,Middle-income,42.0,38.8,18,12
Park,Middle-income,63.6,41.2,2,12
Park,Middle-income,33.9,39.1,7,15
Park,Middle-income,16.9,35.3,2,14
Park,Middle-income,34.9,43.8,17,13
Park,Middle-income,55.7,43.6,3,17
Park,Middle-income,30.3,46.5,29,11
Park,Middle-income,45.5,49.2,23,13
Park,Middle-income,63.8,37.8,25,15
Park,Middle-income,46.6,41.2,5,14
Park,Middle-income,24.3,38.0,17,14
Park,Middle-income,21.5,42.5,15,14
Park,Middle-income,38.4,41.5,21,13
Park,Middle-income,6.4,47.1,7,17
Park,Middle-income,48.0,40.8,19,15
Park,Middle-income,33.6,44.0,15,16
Park,Middle-income,19.7,47.3,12,13
Park,Middle-income,75.4,40.4,11,17
Park,Middle-income,66.7,42.0,6,15
Park,Middle-income,36.7,35.6,20,16
Park,Middle-income,68.4,43.3,22,9
Park,Middle-income,56.8,43.9,30,17
Park,Middle-income,55.2,35.4,21,16
Park,Middle-income,51.9,47.7,7,14
Park,Middle-income,18.7,49.7,4,11
Park,Middle-income,62.8,41.9,13,13
