Sensor_id,Datetime,Fahrenheit,Centigrade,Site,Treatment
260191640D,2026-04-10T22:25:13Z,79.3,26.3,Site A,Shade
260191640D,2026-04-10T22:30:13Z,78,25.6,Site A,Shade
260191640D,2026-04-10T22:35:13Z,77.9,25.5,Site A,Shade
260191640D,2026-04-10T22:40:13Z,77.7,25.4,Site A,Shade
260191640D,2026-04-10T22:45:13Z,77.7,25.4,Site A,Shade
260191640D,2026-04-10T22:50:13Z,77.7,25.4,Site A,Shade
260191640D,2026-04-10T22:55:13Z,77.5,25.3,Site A,Shade
260191640D,2026-04-10T23:00:13Z,77.7,25.4,Site A,Shade
260191640D,2026-04-10T23:05:13Z,77.7,25.4,Site A,Shade
260191640D,2026-04-10T23:10:13Z,77.5,25.3,Site A,Shade
260191640D,2026-04-10T23:15:13Z,77.5,25.3,Site A,Shade
260191640D,2026-04-10T23:20:13Z,77.5,25.3,Site A,Shade
260191640D,2026-04-10T23:25:13Z,77.3,25.2,Site A,Shade
260191640D,2026-04-10T23:30:13Z,77.3,25.2,Site A,Shade
260191640D,2026-04-10T23:35:13Z,77.3,25.2,Site A,Shade
260191640D,2026-04-10T23:40:13Z,77.5,25.3,Site A,Shade
260191640D,2026-04-10T23:45:13Z,77.5,25.3,Site A,Shade
260191640D,2026-04-10T23:50:13Z,77.5,25.3,Site A,Shade
260191640D,2026-04-10T23:55:13Z,77.5,25.3,Site A,Shade
260191640D,2026-04-11T00:00:13Z,77.5,25.3,Site A,Shade
260191640D,2026-04-11T00:05:13Z,77.5,25.3,Site A,Shade
260191640D,2026-04-11T00:10:13Z,77.3,25.2,Site A,Shade
260191640D,2026-04-11T00:15:13Z,77.1,25.1,Site A,Shade
260191640D,2026-04-11T00:20:13Z,77.1,25.1,Site A,Shade
260191640D,2026-04-11T00:25:13Z,77.1,25.1,Site A,Shade
260191640D,2026-04-11T00:30:13Z,77.1,25.1,Site A,Shade
260191640D,2026-04-11T00:35:13Z,77.1,25.1,Site A,Shade
260191640D,2026-04-11T00:40:13Z,77.3,25.2,Site A,Shade
260191640D,2026-04-11T00:45:13Z,77.3,25.2,Site A,Shade
260191640D,2026-04-11T00:50:13Z,77.3,25.2,Site A,Shade
260191640D,2026-04-11T00:55:13Z,77.3,25.2,Site A,Shade
260191640D,2026-04-11T01:00:13Z,77.3,25.2,Site A,Shade
260191640D,2026-04-11T01:05:13Z,77.1,25.1,Site A,Shade
260191640D,2026-04-11T01:10:13Z,77.1,25.1,Site A,Shade
260191640D,2026-04-11T01:15:13Z,77,25,Site A,Shade
260191640D,2026-04-11T01:20:13Z,77,25,Site A,Shade
260191640D,2026-04-11T01:25:13Z,77,25,Site A,Shade
260191640D,2026-04-11T01:30:13Z,77,25,Site A,Shade
260191640D,2026-04-11T01:35:13Z,77,25,Site A,Shade
260191640D,2026-04-11T01:40:13Z,77,25,Site A,Shade
260191640D,2026-04-11T01:45:13Z,77,25,Site A,Shade
260191640D,2026-04-11T01:50:13Z,77,25,Site A,Shade
260191640D,2026-04-11T01:55:13Z,77,25,Site A,Shade
260191640D,2026-04-11T02:00:13Z,76.8,24.9,Site A,Shade
260191640D,2026-04-11T02:05:13Z,76.8,24.9,Site A,Shade
260191640D,2026-04-11T02:10:13Z,76.8,24.9,Site A,Shade
260191640D,2026-04-11T02:15:13Z,76.8,24.9,Site A,Shade
260191640D,2026-04-11T02:20:13Z,76.8,24.9,Site A,Shade
260191640D,2026-04-11T02:25:13Z,76.8,24.9,Site A,Shade
260191640D,2026-04-11T02:30:13Z,76.8,24.9,Site A,Shade
260191640D,2026-04-11T02:35:13Z,76.4,24.7,Site A,Shade
260191640D,2026-04-11T02:40:13Z,76.4,24.7,Site A,Shade
260191640D,2026-04-11T02:45:13Z,76.4,24.7,Site A,Shade
260191640D,2026-04-11T02:50:13Z,76.4,24.7,Site A,Shade
260191640D,2026-04-11T02:55:13Z,76.4,24.7,Site A,Shade
260191640D,2026-04-11T03:00:13Z,76.4,24.7,Site A,Shade
260191640D,2026-04-11T03:05:13Z,76.4,24.7,Site A,Shade
260191640D,2026-04-11T03:10:13Z,76.4,24.7,Site A,Shade
260191640D,2026-04-11T03:15:13Z,76.4,24.7,Site A,Shade
260191640D,2026-04-11T03:20:13Z,76.4,24.7,Site A,Shade
260191640D,2026-04-11T03:25:13Z,76.2,24.6,Site A,Shade
260191640D,2026-04-11T03:30:13Z,76.2,24.6,Site A,Shade
260191640D,2026-04-11T03:35:13Z,76.2,24.6,Site A,Shade
260191640D,2026-04-11T03:40:13Z,76.2,24.6,Site A,Shade
260191640D,2026-04-11T03:45:13Z,76.2,24.6,Site A,Shade
260191640D,2026-04-11T03:50:13Z,76.2,24.6,Site A,Shade
260191640D,2026-04-11T03:55:13Z,76.2,24.6,Site A,Shade
260191640D,2026-04-11T04:00:13Z,76.1,24.5,Site A,Shade
260191640D,2026-04-11T04:05:13Z,76.2,24.6,Site A,Shade
260191640D,2026-04-11T04:10:13Z,76.2,24.6,Site A,Shade
260191640D,2026-04-11T04:15:13Z,76.1,24.5,Site A,Shade
260191640D,2026-04-11T04:20:13Z,76.1,24.5,Site A,Shade
260191640D,2026-04-11T04:25:13Z,76.1,24.5,Site A,Shade
260191640D,2026-04-11T04:30:13Z,76.1,24.5,Site A,Shade
260191640D,2026-04-11T04:35:13Z,75.9,24.4,Site A,Shade
260191640D,2026-04-11T04:40:13Z,75.9,24.4,Site A,Shade
260191640D,2026-04-11T04:45:13Z,75.9,24.4,Site A,Shade
260191640D,2026-04-11T04:50:13Z,75.9,24.4,Site A,Shade
260191640D,2026-04-11T04:55:13Z,75.7,24.3,Site A,Shade
260191640D,2026-04-11T05:00:13Z,75.7,24.3,Site A,Shade
260191640D,2026-04-11T05:05:13Z,75.7,24.3,Site A,Shade
260191640D,2026-04-11T05:10:13Z,75.7,24.3,Site A,Shade
260191640D,2026-04-11T05:15:13Z,75.9,24.4,Site A,Shade
260191640D,2026-04-11T05:20:13Z,75.9,24.4,Site A,Shade
260191640D,2026-04-11T05:25:13Z,75.7,24.3,Site A,Shade
260191640D,2026-04-11T05:30:13Z,75.7,24.3,Site A,Shade
260191640D,2026-04-11T05:35:13Z,75.7,24.3,Site A,Shade
260191640D,2026-04-11T05:40:13Z,75.7,24.3,Site A,Shade
260191640D,2026-04-11T05:45:13Z,75.5,24.2,Site A,Shade
260191640D,2026-04-11T05:50:13Z,75.5,24.2,Site A,Shade
260191640D,2026-04-11T05:55:13Z,75.5,24.2,Site A,Shade
260191640D,2026-04-11T06:00:13Z,75.5,24.2,Site A,Shade
260191640D,2026-04-11T06:05:13Z,75.5,24.2,Site A,Shade
260191640D,2026-04-11T06:10:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T06:15:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T06:20:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T06:25:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T06:30:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T06:35:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T06:40:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T06:45:13Z,75.5,24.2,Site A,Shade
260191640D,2026-04-11T06:50:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T06:55:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T07:00:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T07:05:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T07:10:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T07:15:13Z,75.3,24.1,Site A,Shade
260191640D,2026-04-11T07:20:13Z,75.2,24,Site A,Shade
260191640D,2026-04-11T07:25:13Z,75.2,24,Site A,Shade
260191640D,2026-04-11T07:30:13Z,75.2,24,Site A,Shade
260191640D,2026-04-11T07:35:13Z,75.2,24,Site A,Shade
260191640D,2026-04-11T07:40:13Z,75.2,24,Site A,Shade
260191640D,2026-04-11T07:45:13Z,75.2,24,Site A,Shade
260191640D,2026-04-11T07:50:13Z,75,23.9,Site A,Shade
260191640D,2026-04-11T07:55:13Z,75,23.9,Site A,Shade
260191640D,2026-04-11T08:00:13Z,75,23.9,Site A,Shade
260191640D,2026-04-11T08:05:13Z,75,23.9,Site A,Shade
260191640D,2026-04-11T08:10:13Z,75,23.9,Site A,Shade
260191640D,2026-04-11T08:15:13Z,75,23.9,Site A,Shade
260191640D,2026-04-11T08:20:13Z,75,23.9,Site A,Shade
260191640D,2026-04-11T08:25:13Z,75,23.9,Site A,Shade
260191640D,2026-04-11T08:30:13Z,75,23.9,Site A,Shade
260191640D,2026-04-11T08:35:13Z,75,23.9,Site A,Shade
260191640D,2026-04-11T08:40:13Z,75,23.9,Site A,Shade
260191640D,2026-04-11T08:45:13Z,74.8,23.8,Site A,Shade
260191640D,2026-04-11T08:50:13Z,74.8,23.8,Site A,Shade
260191640D,2026-04-11T08:55:13Z,74.8,23.8,Site A,Shade
260191640D,2026-04-11T09:00:13Z,74.8,23.8,Site A,Shade
260191640D,2026-04-11T09:05:13Z,74.8,23.8,Site A,Shade
260191640D,2026-04-11T09:10:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T09:15:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T09:20:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T09:25:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T09:30:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T09:35:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T09:40:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T09:45:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T09:50:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T09:55:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T10:00:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T10:05:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T10:10:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T10:15:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T10:20:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T10:25:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T10:30:13Z,74.4,23.6,Site A,Shade
260191640D,2026-04-11T10:35:13Z,74.4,23.6,Site A,Shade
260191640D,2026-04-11T10:40:13Z,74.4,23.6,Site A,Shade
260191640D,2026-04-11T10:45:13Z,74.4,23.6,Site A,Shade
260191640D,2026-04-11T10:50:13Z,74.4,23.6,Site A,Shade
260191640D,2026-04-11T10:55:13Z,74.4,23.6,Site A,Shade
260191640D,2026-04-11T11:00:13Z,74.3,23.5,Site A,Shade
260191640D,2026-04-11T11:05:13Z,74.3,23.5,Site A,Shade
260191640D,2026-04-11T11:10:13Z,74.3,23.5,Site A,Shade
260191640D,2026-04-11T11:15:13Z,74.3,23.5,Site A,Shade
260191640D,2026-04-11T11:20:13Z,74.3,23.5,Site A,Shade
260191640D,2026-04-11T11:25:13Z,74.3,23.5,Site A,Shade
260191640D,2026-04-11T11:30:13Z,74.3,23.5,Site A,Shade
260191640D,2026-04-11T11:35:13Z,74.3,23.5,Site A,Shade
260191640D,2026-04-11T11:40:13Z,74.3,23.5,Site A,Shade
260191640D,2026-04-11T11:45:13Z,74.3,23.5,Site A,Shade
260191640D,2026-04-11T11:50:13Z,74.3,23.5,Site A,Shade
260191640D,2026-04-11T11:55:13Z,74.1,23.4,Site A,Shade
260191640D,2026-04-11T12:00:13Z,74.1,23.4,Site A,Shade
260191640D,2026-04-11T12:05:13Z,74.1,23.4,Site A,Shade
260191640D,2026-04-11T12:10:13Z,74.1,23.4,Site A,Shade
260191640D,2026-04-11T12:15:13Z,74.1,23.4,Site A,Shade
260191640D,2026-04-11T12:20:13Z,74.1,23.4,Site A,Shade
260191640D,2026-04-11T12:25:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T12:30:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T12:35:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T12:40:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T12:45:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T12:50:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T12:55:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T13:00:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T13:05:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T13:10:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T13:15:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T13:20:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T13:25:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T13:30:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T13:35:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T13:40:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T13:45:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T13:50:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T13:55:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T14:00:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T14:05:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T14:10:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T14:15:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T14:20:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T14:25:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T14:30:13Z,73.7,23.2,Site A,Shade
260191640D,2026-04-11T14:35:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T14:40:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T14:45:13Z,73.9,23.3,Site A,Shade
260191640D,2026-04-11T14:50:13Z,74.1,23.4,Site A,Shade
260191640D,2026-04-11T14:55:13Z,74.4,23.6,Site A,Shade
260191640D,2026-04-11T15:00:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T15:05:13Z,74.6,23.7,Site A,Shade
260191640D,2026-04-11T15:10:13Z,74.8,23.8,Site A,Shade
260191640D,2026-04-11T15:15:13Z,75.2,24,Site A,Shade
260191640D,2026-04-11T15:20:13Z,75.5,24.2,Site A,Shade
260191640D,2026-04-11T15:25:13Z,76.1,24.5,Site A,Shade
260191640D,2026-04-11T15:30:13Z,76.6,24.8,Site A,Shade
260191640D,2026-04-11T15:35:13Z,77,25,Site A,Shade
260191640D,2026-04-11T15:40:13Z,77.1,25.1,Site A,Shade
260191640D,2026-04-11T15:45:13Z,77.5,25.3,Site A,Shade
260191640D,2026-04-11T15:50:13Z,77.7,25.4,Site A,Shade
260191640D,2026-04-11T15:55:13Z,78.2,25.7,Site A,Shade
260191640D,2026-04-11T16:00:13Z,78.4,25.8,Site A,Shade
260191640D,2026-04-11T16:05:13Z,78.8,26,Site A,Shade
260191640D,2026-04-11T16:10:13Z,78.8,26,Site A,Shade
260191640D,2026-04-11T16:15:13Z,79.1,26.2,Site A,Shade
260191640D,2026-04-11T16:20:13Z,79.5,26.4,Site A,Shade
260191640D,2026-04-11T16:25:13Z,79.7,26.5,Site A,Shade
260191640D,2026-04-11T16:30:13Z,79.1,26.2,Site A,Shade
260191640D,2026-04-11T16:35:13Z,79.1,26.2,Site A,Shade
260191640D,2026-04-11T16:40:13Z,79.1,26.2,Site A,Shade
260191640D,2026-04-11T16:45:13Z,79.5,26.4,Site A,Shade
260191640D,2026-04-11T16:50:13Z,79.7,26.5,Site A,Shade
260191640D,2026-04-11T16:55:13Z,79.5,26.4,Site A,Shade
260191640D,2026-04-11T17:00:13Z,79.5,26.4,Site A,Shade
260191640D,2026-04-11T17:05:13Z,79.1,26.2,Site A,Shade
260191640D,2026-04-11T17:10:13Z,78.8,26,Site A,Shade
260191640D,2026-04-11T17:15:13Z,78.6,25.9,Site A,Shade
260191640D,2026-04-11T17:20:13Z,78.6,25.9,Site A,Shade
260191640D,2026-04-11T17:25:13Z,78.8,26,Site A,Shade
260191640D,2026-04-11T17:30:13Z,78.8,26,Site A,Shade
260191640D,2026-04-11T17:35:13Z,78.8,26,Site A,Shade
260191640D,2026-04-11T17:40:13Z,79.1,26.2,Site A,Shade
260191640D,2026-04-11T17:45:13Z,79.1,26.2,Site A,Shade
260191640D,2026-04-11T17:50:13Z,79.1,26.2,Site A,Shade
260191640D,2026-04-11T17:55:13Z,78.8,26,Site A,Shade
260191640D,2026-04-11T18:00:13Z,78.8,26,Site A,Shade
260191640D,2026-04-11T18:05:13Z,78.8,26,Site A,Shade
260191640D,2026-04-11T18:10:13Z,78.8,26,Site A,Shade
260191640D,2026-04-11T18:15:13Z,78.8,26,Site A,Shade
260191640D,2026-04-11T18:20:13Z,78.6,25.9,Site A,Shade
