"Year","Country","CO2_emissions","CH4_emissions","N2O_emissions","GWP_CO2","GWP_CH4","GWP_N2O","Total_GWP","Cumulative_GWP"
2015,"China",4691.75256486051,260.358432645444,107.130341152661,4691.75256486051,7290.03611407243,28389.540405455,40371.329084388,40371.329084388
2016,"China",4658.97340269294,280.511844775174,115.061842012219,4658.97340269294,7854.33165370487,30491.3881332381,43004.6931896359,83376.0222740239
2017,"China",4714.88438395318,277.978527790401,109.701111861505,4714.88438395318,7783.39877813123,29070.7946432987,41569.0778053831,124945.100079407
2018,"China",9222.07525977865,470.411395677365,187.263973494992,9222.07525977865,13171.5190789662,49624.9529761728,72018.5473149177,196963.647394325
2019,"China",9840.21585877053,455.442739324644,198.459854270332,9840.21585877053,12752.39670109,52591.8613816379,75184.4739414984,272148.121335823
2020,"China",9135.04159171134,463.33377128467,181.11905079335,9135.04159171134,12973.3455959707,47996.5484602377,70104.9356479198,342253.056983743
2021,"China",9368.82935836911,493.453676416539,181.35154014919,9368.82935836911,13816.7029396631,48058.1581395352,71243.6904375674,413496.74742131
2022,"China",2238.41874809004,183.897020108998,80.1941349590197,2238.41874809004,5149.11656305194,21251.4457641402,28638.9810752822,442135.728496592
2023,"China",2283.94430638291,163.85182980448,95.1909174304456,2283.94430638291,4587.85123452544,25225.5931190681,32097.3886599764,474233.117156569
2024,"China",2492.01707241591,172.950610623229,90.9749774681404,2492.01707241591,4842.61709745042,24108.3690290572,31443.0031989235,505676.120355492
2015,"India",4985.40382389911,295.441648550332,114.276544768363,4985.40382389911,8272.36615940928,30283.2843636163,43541.0543469246,43541.0543469246
2016,"India",4960.43001674116,266.507415554952,113.931029327214,4960.43001674116,7462.20763553865,30191.7227717116,42614.3604239915,86155.4147709161
2017,"India",4595.74746631552,256.203305872623,119.547857525758,4595.74746631552,7173.69256443344,31680.182244326,43449.6222750749,129605.037045991
2018,"India",9464.53305636533,421.674083266407,181.424867007881,9464.53305636533,11806.8743314594,48077.5897570886,69348.9971449133,198954.034190904
2019,"India",9001.62753369659,472.018656437285,193.401783751324,9001.62753369659,13216.522380244,51251.4726941008,73469.6226080414,272423.656798946
2020,"India",9276.91710391082,426.825694763102,195.54596726317,9276.91710391082,11951.1194533668,51819.6813247399,73047.7178820176,345471.374680963
2021,"India",2324.35264964588,158.685487869661,85.1769055984914,2324.35264964588,4443.19366035052,22571.8799836002,29339.4262935966,374810.80097456
2022,"India",2393.15936903004,169.537124957424,89.8756187967956,2393.15936903004,4747.03949880786,23817.0389811508,30957.2378489887,405768.038823549
2023,"India",2320.87572850287,157.003183616325,95.7829614263028,2320.87572850287,4396.08914125711,25382.4847779702,32099.4496477302,437867.488471279
2024,"India",2369.89715872332,163.444762106519,94.169098562561,2369.89715872332,4576.45333898254,24954.8111190787,31901.1616167845,469768.650088063
2015,"USA",4704.19921760913,290.02684620209,113.593527264893,4704.19921760913,8120.75169365853,30102.2847251967,42927.2356364643,42927.2356364643
2016,"USA",4926.93790746853,287.249694007915,108.34861098323,4926.93790746853,8042.99143222161,28712.381910556,41682.3112502461,84609.5468867105
2017,"USA",4827.58376456331,284.453974699136,117.251236503944,4827.58376456331,7964.7112915758,31071.5776735451,43863.8727296842,128473.419616395
2018,"USA",4596.75951313693,252.77332564583,118.529283804819,4596.75951313693,7077.65311808325,31410.260208277,43084.6728394972,171558.092455892
2019,"USA",9495.99217646755,427.613865677267,198.965391148813,9495.99217646755,11973.1882389635,52725.8286544355,74195.0090698665,245753.101525758
2020,"USA",9038.94465789199,452.053304947913,194.19743352104,9038.94465789199,12657.4925385416,51462.3198830755,73158.7570795091,318911.858605267
2021,"USA",9501.34352571331,429.038712522015,189.170691589825,9501.34352571331,12013.0839506164,50130.2332713036,71644.6607476333,390556.519352901
2022,"USA",2300.49101584591,166.974498901982,96.824535629712,2300.49101584591,4675.28596925549,25658.5019418737,32634.2789269751,423190.798279876
2023,"USA",2434.12575433031,189.11005287664,87.984749795869,2434.12575433031,5295.08148054592,23315.9586959053,31045.1659307815,454235.964210657
2024,"USA",2493.94434953574,198.488670785446,99.088488901034,2493.94434953574,5557.68278199248,26258.449558774,34310.0766903022,488546.04090096
