"ID","LATITUDE","LONGITUDE","ELEMENT","FIRSTYEAR","LASTYEAR","STATE","STATE_NAME","RECORD_LENGTH"
"USC00043157",41.8714,-120.1575,"TMAX",1870,2026,"CA","CALIFORNIA",157
"USW00023271",38.5553,-121.4183,"TMAX",1877,2025,"CA","CALIFORNIA",149
"USC00042294",38.535,-121.7761,"TMAX",1893,2026,"CA","CALIFORNIA",134
"USC00046074",38.2778,-122.2647,"TMAX",1893,2026,"CA","CALIFORNIA",134
"USC00046136",39.2467,-121.0008,"TMAX",1893,2026,"CA","CALIFORNIA",134
"USC00046719",34.1483,-118.1447,"TMAX",1893,2026,"CA","CALIFORNIA",134
"USC00046826",38.2578,-122.6078,"TMAX",1893,2026,"CA","CALIFORNIA",134
"USC00047821",37.3594,-121.9244,"TMAX",1893,2026,"CA","CALIFORNIA",134
"USC00047902",34.4167,-119.6844,"TMAX",1893,2026,"CA","CALIFORNIA",134
"USC00049866",41.7025,-122.6417,"TMAX",1893,2026,"CA","CALIFORNIA",134
"USC00040693",37.8744,-122.2606,"TMAX",1893,2025,"CA","CALIFORNIA",133
"USC00044412",33.0764,-116.5925,"TMAX",1893,2025,"CA","CALIFORNIA",133
"USC00048351",38.2994,-122.4622,"TMAX",1893,2025,"CA","CALIFORNIA",133
"USC00041614",41.53,-120.1792,"TMAX",1894,2026,"CA","CALIFORNIA",133
"USC00046730",35.6278,-120.6856,"TMAX",1894,2026,"CA","CALIFORNIA",133
"USC00047880",37.9983,-122.5372,"TMAX",1894,2026,"CA","CALIFORNIA",133
"USC00044259",33.7086,-116.2153,"TMAX",1894,2025,"CA","CALIFORNIA",132
"USC00049073",37.5019,-120.8456,"TMAX",1894,2025,"CA","CALIFORNIA",132
"USC00043161",39.51,-123.7564,"TMAX",1895,2026,"CA","CALIFORNIA",132
"USC00047195",39.9367,-120.9475,"TMAX",1895,2026,"CA","CALIFORNIA",132
"USC00048702",40.4167,-120.6631,"TMAX",1895,2026,"CA","CALIFORNIA",132
"USW00023157",37.3711,-118.3589,"TMAX",1895,2026,"CA","CALIFORNIA",132
"USC00040943",38.2119,-119.0142,"TMAX",1895,2025,"CA","CALIFORNIA",131
"USC00043875",38.6294,-122.8664,"TMAX",1897,2026,"CA","CALIFORNIA",130
"USC00042805",33.6861,-117.3458,"TMAX",1897,2025,"CA","CALIFORNIA",129
"USC00043191",38.515,-123.2447,"TMAX",1897,2025,"CA","CALIFORNIA",129
"USC00048839",35.0233,-118.7497,"TMAX",1898,2026,"CA","CALIFORNIA",129
"USC00049367",36.3283,-119.2997,"TMAX",1898,2026,"CA","CALIFORNIA",129
"USC00043747",36.3158,-119.6369,"TMAX",1899,2026,"CA","CALIFORNIA",128
"USC00044890",36.3817,-119.0264,"TMAX",1899,2026,"CA","CALIFORNIA",128
"USC00042239",32.9897,-116.5872,"TMAX",1899,2025,"CA","CALIFORNIA",127
"USC00045532",37.2889,-120.5158,"TMAX",1899,2025,"CA","CALIFORNIA",127
"USC00049452",35.5892,-119.3519,"TMAX",1901,2026,"CA","CALIFORNIA",126
"USC00041018",39.4539,-120.6556,"TMAX",1901,2025,"CA","CALIFORNIA",125
"USC00044223",32.8489,-115.5667,"TMAX",1901,2025,"CA","CALIFORNIA",125
"USC00044500",37.9567,-122.5447,"TMAX",1902,2026,"CA","CALIFORNIA",125
"USC00047965",38.4558,-122.7133,"TMAX",1902,2026,"CA","CALIFORNIA",125
"USC00046168",37.2811,-121.0178,"TMAX",1902,2025,"CA","CALIFORNIA",124
"USC00044997",37.6819,-121.7514,"TMAX",1903,2026,"CA","CALIFORNIA",124
"USC00046508",41.3019,-123.5386,"TMAX",1903,2026,"CA","CALIFORNIA",124
"USC00046506",39.7458,-122.1997,"TMAX",1903,2025,"CA","CALIFORNIA",123
"USC00046252",37.2328,-119.5097,"TMAX",1904,2026,"CA","CALIFORNIA",123
"USC00040383",38.9072,-121.0839,"TMAX",1905,2026,"CA","CALIFORNIA",122
"USC00041912",39.09,-120.9469,"TMAX",1905,2026,"CA","CALIFORNIA",122
"USC00046399",34.4478,-119.2275,"TMAX",1905,2026,"CA","CALIFORNIA",122
"USC00049855",37.7503,-119.5897,"TMAX",1905,2025,"CA","CALIFORNIA",121
"USC00048353",37.9672,-120.3872,"TMAX",1906,2026,"CA","CALIFORNIA",121
"USC00049699",39.5231,-122.3047,"TMAX",1906,2026,"CA","CALIFORNIA",121
"USW00093134",34.0236,-118.2911,"TMAX",1906,2026,"CA","CALIFORNIA",121
"USC00041072",38.2575,-119.2286,"TMAX",1906,2025,"CA","CALIFORNIA",120
