"ID","LATITUDE","LONGITUDE","ELEMENT","FIRSTYEAR","LASTYEAR","STATE","STATE_NAME","RECORD_LENGTH"
"AQW00061705",-14.3306,-170.7136,"TMAX",1966,2026,"AS","AMERICAN SAMOA",61
"CA001011500",48.9333,-123.75,"TMAX",1979,2024,"BC","BRITISH COLUMBIA",46
"CA001012055",48.8333,-124.05,"TMAX",1960,2024,"BC","BRITISH COLUMBIA",65
"CA001012475",48.4167,-123.2333,"TMAX",1997,2025,"BC","BRITISH COLUMBIA",29
"CA001012710",48.4333,-123.4333,"TMAX",1991,2025,"BC","BRITISH COLUMBIA",35
"CA001014820",48.5667,-123.5333,"TMAX",1991,2025,"BC","BRITISH COLUMBIA",35
"CA001015630",48.8167,-123.7167,"TMAX",2007,2025,"BC","BRITISH COLUMBIA",19
"CA001015638",48.7667,-123.2833,"TMAX",1972,2024,"BC","BRITISH COLUMBIA",53
"CA001016640",48.3,-123.5333,"TMAX",1996,2025,"BC","BRITISH COLUMBIA",30
"CA001016940",48.6167,-123.4167,"TMAX",1914,2023,"BC","BRITISH COLUMBIA",110
"CA001017099",48.7833,-123.1333,"TMAX",1991,2025,"BC","BRITISH COLUMBIA",35
"CA001017101",48.7833,-123.05,"TMAX",1980,2025,"BC","BRITISH COLUMBIA",46
"CA001017230",48.65,-123.6333,"TMAX",1913,2023,"BC","BRITISH COLUMBIA",111
"CA001017254",48.3833,-123.9167,"TMAX",1992,2025,"BC","BRITISH COLUMBIA",34
"CA001018598",48.45,-123.3,"TMAX",1992,2025,"BC","BRITISH COLUMBIA",34
"CA001018610",48.4167,-123.3167,"TMAX",1898,2025,"BC","BRITISH COLUMBIA",128
"CA001018611",48.0333,-123.3333,"TMAX",1973,2024,"BC","BRITISH COLUMBIA",52
"CA001020590",49.35,-124.1667,"TMAX",1992,2025,"BC","BRITISH COLUMBIA",34
"CA001021261",49.95,-125.2667,"TMAX",1965,2024,"BC","BRITISH COLUMBIA",60
"CA001021330",50,-125.2,"TMAX",1978,2024,"BC","BRITISH COLUMBIA",47
"CA001021480",50.3333,-125.45,"TMAX",1958,2024,"BC","BRITISH COLUMBIA",67
"CA001021830",49.7167,-124.9,"TMAX",1944,2025,"BC","BRITISH COLUMBIA",82
"CA001021988",49.7667,-125,"TMAX",1979,2024,"BC","BRITISH COLUMBIA",46
"CA001021989",49.6833,-125.0333,"TMAX",1986,2024,"BC","BRITISH COLUMBIA",39
"CA001022689",49.2167,-123.8,"TMAX",1992,2025,"BC","BRITISH COLUMBIA",34
"CA001022795",50.45,-126,"TMAX",2000,2025,"BC","BRITISH COLUMBIA",26
"CA001024638",49.35,-124.5167,"TMAX",1981,2023,"BC","BRITISH COLUMBIA",43
"CA001026170",50.9833,-127.7333,"TMAX",1986,2024,"BC","BRITISH COLUMBIA",39
"CA001026270",50.6833,-127.3667,"TMAX",1944,2025,"BC","BRITISH COLUMBIA",82
"CA001026562",49.3333,-124.4,"TMAX",2006,2024,"BC","BRITISH COLUMBIA",19
"CA001026565",49.4,-124.6167,"TMAX",1962,2024,"BC","BRITISH COLUMBIA",63
"CA001026639",50.0167,-125.3,"TMAX",1975,2024,"BC","BRITISH COLUMBIA",50
"CA001027403",49.4833,-124.4333,"TMAX",1993,2025,"BC","BRITISH COLUMBIA",33
"CA00102BFHH",49.2167,-123.8167,"TMAX",1987,2024,"BC","BRITISH COLUMBIA",38
"CA001030230",49.3333,-124.9833,"TMAX",1961,2024,"BC","BRITISH COLUMBIA",64
"CA001031316",48.7833,-125.2167,"TMAX",1984,2024,"BC","BRITISH COLUMBIA",41
"CA001031353",50.7833,-128.4333,"TMAX",1965,2024,"BC","BRITISH COLUMBIA",60
"CA001032730",49.3833,-126.55,"TMAX",1908,2024,"BC","BRITISH COLUMBIA",117
"CA001032731",49.3833,-126.55,"TMAX",1977,2025,"BC","BRITISH COLUMBIA",49
"CA001034600",49.1167,-125.9167,"TMAX",2011,2024,"BC","BRITISH COLUMBIA",14
"CA001035612",48.8667,-124.65,"TMAX",1981,2024,"BC","BRITISH COLUMBIA",44
"CA001035614",49.6,-126.6167,"TMAX",1978,2024,"BC","BRITISH COLUMBIA",47
"CA001035940",48.7167,-125.1,"TMAX",1924,2024,"BC","BRITISH COLUMBIA",101
"CA001036570",50.5333,-127.65,"TMAX",1895,2024,"BC","BRITISH COLUMBIA",130
"CA001036572",50.4333,-128.0333,"TMAX",1978,2024,"BC","BRITISH COLUMBIA",47
"CA001036B06",49.3167,-124.9333,"TMAX",1992,2025,"BC","BRITISH COLUMBIA",34
"CA001037090",50.8167,-128.9,"TMAX",1995,2025,"BC","BRITISH COLUMBIA",31
"CA001037553",50.1167,-127.9333,"TMAX",1995,2025,"BC","BRITISH COLUMBIA",31
"CA001037899",49.9333,-126.65,"TMAX",1993,2024,"BC","BRITISH COLUMBIA",32
"CA001038205",49.0833,-125.7667,"TMAX",1943,2023,"BC","BRITISH COLUMBIA",81
"CA001038332",48.95,-125.5333,"TMAX",1988,2024,"BC","BRITISH COLUMBIA",37
"CA001039035",50.05,-126.7833,"TMAX",2010,2024,"BC","BRITISH COLUMBIA",15
"CA001043152",49.3833,-123.5333,"TMAX",1970,2024,"BC","BRITISH COLUMBIA",55
"CA001045100",49.4667,-123.9167,"TMAX",1960,2024,"BC","BRITISH COLUMBIA",65
"CA0010459NN",49.4833,-123.3,"TMAX",1991,2025,"BC","BRITISH COLUMBIA",35
"CA001046332",49.5333,-123.5,"TMAX",2006,2025,"BC","BRITISH COLUMBIA",20
"CA001046391",49.8333,-124.5,"TMAX",1954,2024,"BC","BRITISH COLUMBIA",71
"CA001046392",49.8333,-124.5,"TMAX",2007,2025,"BC","BRITISH COLUMBIA",19
"CA001047172",49.45,-123.7167,"TMAX",2007,2025,"BC","BRITISH COLUMBIA",19
"CA0010476F0",49.7833,-123.1667,"TMAX",1982,2025,"BC","BRITISH COLUMBIA",44
"CA001048898",50.1333,-122.95,"TMAX",1976,2024,"BC","BRITISH COLUMBIA",49
"CA001051351",51.9333,-131.0167,"TMAX",1992,2024,"BC","BRITISH COLUMBIA",33
"CA001054500",54.25,-133.05,"TMAX",1936,2024,"BC","BRITISH COLUMBIA",89
"CA001054503",54.25,-133.0667,"TMAX",1993,2025,"BC","BRITISH COLUMBIA",33
"CA001056869",54.1667,-131.6667,"TMAX",1995,2025,"BC","BRITISH COLUMBIA",31
"CA001057052",53.25,-131.8167,"TMAX",2010,2024,"BC","BRITISH COLUMBIA",15
"CA001060080",51.6,-127.8667,"TMAX",1978,2024,"BC","BRITISH COLUMBIA",47
"CA001060815",52.1833,-128.15,"TMAX",2011,2025,"BC","BRITISH COLUMBIA",15
"CA001060901",52.65,-128.5167,"TMAX",1974,2024,"BC","BRITISH COLUMBIA",51
"CA001060902",53.5,-130.6333,"TMAX",1965,2024,"BC","BRITISH COLUMBIA",60
"CA001060R0K",53.5,-130.6333,"TMAX",1995,2025,"BC","BRITISH COLUMBIA",31
"CA001061458",52.1833,-127.4667,"TMAX",1995,2025,"BC","BRITISH COLUMBIA",31
"CA001062251",53.0333,-131.6,"TMAX",1992,2025,"BC","BRITISH COLUMBIA",34
"CA001062544",52.1833,-128.1167,"TMAX",1977,2024,"BC","BRITISH COLUMBIA",48
"CA001062646",51.25,-127.8333,"TMAX",1965,2024,"BC","BRITISH COLUMBIA",60
"CA001063298",54.5667,-130.7,"TMAX",1978,2024,"BC","BRITISH COLUMBIA",47
"CA001063303",54.5833,-130.7,"TMAX",1995,2025,"BC","BRITISH COLUMBIA",31
"CA001063461",50.9333,-127.6333,"TMAX",1995,2025,"BC","BRITISH COLUMBIA",31
"CA001063496",54.1667,-130.3667,"TMAX",1991,2025,"BC","BRITISH COLUMBIA",35
"CA001063690",52.2667,-128.4,"TMAX",1948,2024,"BC","BRITISH COLUMBIA",77
"CA001064020",53.5667,-127.95,"TMAX",1951,2024,"BC","BRITISH COLUMBIA",74
"CA001064321",54.0167,-128.7,"TMAX",1966,2023,"BC","BRITISH COLUMBIA",58
"CA001064728",54.3,-130.6167,"TMAX",1991,2025,"BC","BRITISH COLUMBIA",35
"CA001065010",52.2667,-128.7167,"TMAX",1955,2024,"BC","BRITISH COLUMBIA",70
"CA001066482",54.2833,-130.45,"TMAX",2010,2025,"BC","BRITISH COLUMBIA",16
"CA001068131",54.5,-128.6167,"TMAX",1968,2024,"BC","BRITISH COLUMBIA",57
"CA001068134",54.4667,-128.5833,"TMAX",2013,2024,"BC","BRITISH COLUMBIA",12
"CA001068250",54.3,-130.8833,"TMAX",1989,2024,"BC","BRITISH COLUMBIA",36
"CA00106D289",54.05,-128.6833,"TMAX",1995,2024,"BC","BRITISH COLUMBIA",30
"CA001073615",54.4,-126.6667,"TMAX",1957,2024,"BC","BRITISH COLUMBIA",68
"CA001077499",54.8333,-127.1833,"TMAX",1957,2025,"BC","BRITISH COLUMBIA",69
"CA00107G879",55.2833,-127.1667,"TMAX",1982,2024,"BC","BRITISH COLUMBIA",43
"CA001085836",53.7667,-126,"TMAX",2005,2025,"BC","BRITISH COLUMBIA",21
"CA001086082",50.3,-122.7333,"TMAX",1984,2025,"BC","BRITISH COLUMBIA",42
"CA001086558",52.1167,-124.1333,"TMAX",1993,2025,"BC","BRITISH COLUMBIA",33
"CA001088015",51.6667,-124.4,"TMAX",2000,2025,"BC","BRITISH COLUMBIA",26
"CA001090660",53.0667,-121.5167,"TMAX",1888,2024,"BC","BRITISH COLUMBIA",137
"CA001091174",54.3833,-125.9667,"TMAX",1990,2025,"BC","BRITISH COLUMBIA",36
"CA001093474",53.5333,-122.7,"TMAX",1970,2024,"BC","BRITISH COLUMBIA",55
"CA001095018",52.5333,-122.2833,"TMAX",1972,2024,"BC","BRITISH COLUMBIA",53
