approach,series,r,p_value,n_obs,sig,type,lag,ccf
syuzhet_mean,wti_spot_ret,0.1122183261022983,0.3411400466875002,74,,contemporaneous,0,NA
syuzhet_mean,heating_oil_ret,0.14716729573531573,0.21084188319493624,74,,contemporaneous,0,NA
syuzhet_mean,jet_fuel_ret,0.19090924669360218,0.10324358402459989,74,,contemporaneous,0,NA
syuzhet_mean,us_gasoline_ret,-0.14707659843672172,0.21112637595595513,74,,contemporaneous,0,NA
lsd2015_mean,wti_spot_ret,0.08169724098739886,0.4889501729052387,74,,contemporaneous,0,NA
lsd2015_mean,heating_oil_ret,0.019342293237738836,0.8700686807791578,74,,contemporaneous,0,NA
lsd2015_mean,jet_fuel_ret,0.030155016327334118,0.7986883590564089,74,,contemporaneous,0,NA
lsd2015_mean,us_gasoline_ret,-0.2638809123883246,0.023100283202516267,74,**,contemporaneous,0,NA
sentimentr_mean,wti_spot_ret,0.11876725948725132,0.31352475850516154,74,,contemporaneous,0,NA
sentimentr_mean,heating_oil_ret,0.1505637070425208,0.20038300422435018,74,,contemporaneous,0,NA
sentimentr_mean,jet_fuel_ret,0.19224006331884694,0.10081774747277947,74,,contemporaneous,0,NA
sentimentr_mean,us_gasoline_ret,-0.15617697926763538,0.18391960216375272,74,,contemporaneous,0,NA
syuzhet_mean,wti_spot_ret,0.030914016071352895,NA,NA,,lead_lag,-4,0.030914016071352895
syuzhet_mean,wti_spot_ret,0.058634096241243085,NA,NA,,lead_lag,-3,0.058634096241243085
syuzhet_mean,wti_spot_ret,-0.04917268369366534,NA,NA,,lead_lag,-2,-0.04917268369366534
syuzhet_mean,wti_spot_ret,-0.06406246259177172,NA,NA,,lead_lag,-1,-0.06406246259177172
syuzhet_mean,wti_spot_ret,0.11221832610229825,NA,NA,,lead_lag,0,0.11221832610229825
syuzhet_mean,wti_spot_ret,-0.04444588763777731,NA,NA,,lead_lag,1,-0.04444588763777731
syuzhet_mean,wti_spot_ret,0.07089560369429015,NA,NA,,lead_lag,2,0.07089560369429015
syuzhet_mean,wti_spot_ret,0.08144461074781831,NA,NA,,lead_lag,3,0.08144461074781831
syuzhet_mean,wti_spot_ret,0.14429411018111946,NA,NA,,lead_lag,4,0.14429411018111946
syuzhet_mean,heating_oil_ret,-0.01404384352660604,NA,NA,,lead_lag,-4,-0.01404384352660604
syuzhet_mean,heating_oil_ret,0.051659656940768475,NA,NA,,lead_lag,-3,0.051659656940768475
syuzhet_mean,heating_oil_ret,0.04640712413923028,NA,NA,,lead_lag,-2,0.04640712413923028
syuzhet_mean,heating_oil_ret,-0.04767576781646894,NA,NA,,lead_lag,-1,-0.04767576781646894
syuzhet_mean,heating_oil_ret,0.14716729573531567,NA,NA,,lead_lag,0,0.14716729573531567
syuzhet_mean,heating_oil_ret,-0.10859113180407076,NA,NA,,lead_lag,1,-0.10859113180407076
syuzhet_mean,heating_oil_ret,0.08587628126210449,NA,NA,,lead_lag,2,0.08587628126210449
syuzhet_mean,heating_oil_ret,0.10624867840827837,NA,NA,,lead_lag,3,0.10624867840827837
syuzhet_mean,heating_oil_ret,0.15729917174257285,NA,NA,,lead_lag,4,0.15729917174257285
syuzhet_mean,jet_fuel_ret,-0.06418975795797698,NA,NA,,lead_lag,-4,-0.06418975795797698
syuzhet_mean,jet_fuel_ret,0.01741617375212636,NA,NA,,lead_lag,-3,0.01741617375212636
syuzhet_mean,jet_fuel_ret,0.04164041561930773,NA,NA,,lead_lag,-2,0.04164041561930773
syuzhet_mean,jet_fuel_ret,-0.05759993990005994,NA,NA,,lead_lag,-1,-0.05759993990005994
syuzhet_mean,jet_fuel_ret,0.19090924669360224,NA,NA,,lead_lag,0,0.19090924669360224
syuzhet_mean,jet_fuel_ret,-0.053500620419458404,NA,NA,,lead_lag,1,-0.053500620419458404
syuzhet_mean,jet_fuel_ret,0.07831009297611423,NA,NA,,lead_lag,2,0.07831009297611423
syuzhet_mean,jet_fuel_ret,0.12209726214961246,NA,NA,,lead_lag,3,0.12209726214961246
syuzhet_mean,jet_fuel_ret,0.21681292626915516,NA,NA,,lead_lag,4,0.21681292626915516
syuzhet_mean,us_gasoline_ret,-0.06623168374775189,NA,NA,,lead_lag,-4,-0.06623168374775189
syuzhet_mean,us_gasoline_ret,-0.10077291928754153,NA,NA,,lead_lag,-3,-0.10077291928754153
syuzhet_mean,us_gasoline_ret,-0.10483615745038534,NA,NA,,lead_lag,-2,-0.10483615745038534
syuzhet_mean,us_gasoline_ret,0.08075330514493667,NA,NA,,lead_lag,-1,0.08075330514493667
syuzhet_mean,us_gasoline_ret,-0.14707659843672166,NA,NA,,lead_lag,0,-0.14707659843672166
syuzhet_mean,us_gasoline_ret,0.041283025869042055,NA,NA,,lead_lag,1,0.041283025869042055
syuzhet_mean,us_gasoline_ret,0.004956252158354506,NA,NA,,lead_lag,2,0.004956252158354506
syuzhet_mean,us_gasoline_ret,0.16538265647732622,NA,NA,,lead_lag,3,0.16538265647732622
syuzhet_mean,us_gasoline_ret,0.1525238733435911,NA,NA,,lead_lag,4,0.1525238733435911
lsd2015_mean,wti_spot_ret,0.043529298748248395,NA,NA,,lead_lag,-4,0.043529298748248395
lsd2015_mean,wti_spot_ret,0.09792146128536662,NA,NA,,lead_lag,-3,0.09792146128536662
lsd2015_mean,wti_spot_ret,-0.10734259212729459,NA,NA,,lead_lag,-2,-0.10734259212729459
lsd2015_mean,wti_spot_ret,-0.16648948016063797,NA,NA,,lead_lag,-1,-0.16648948016063797
lsd2015_mean,wti_spot_ret,0.0816972409873989,NA,NA,,lead_lag,0,0.0816972409873989
lsd2015_mean,wti_spot_ret,-0.17479687807867691,NA,NA,,lead_lag,1,-0.17479687807867691
lsd2015_mean,wti_spot_ret,0.008831378983731727,NA,NA,,lead_lag,2,0.008831378983731727
lsd2015_mean,wti_spot_ret,-0.03174376770778625,NA,NA,,lead_lag,3,-0.03174376770778625
lsd2015_mean,wti_spot_ret,0.1525899667284121,NA,NA,,lead_lag,4,0.1525899667284121
lsd2015_mean,heating_oil_ret,-0.041848770390103894,NA,NA,,lead_lag,-4,-0.041848770390103894
lsd2015_mean,heating_oil_ret,0.07191099595911167,NA,NA,,lead_lag,-3,0.07191099595911167
lsd2015_mean,heating_oil_ret,-0.04359886566095879,NA,NA,,lead_lag,-2,-0.04359886566095879
lsd2015_mean,heating_oil_ret,-0.134198657514504,NA,NA,,lead_lag,-1,-0.134198657514504
